path,current_db_match,match_kind,confidence,chapter_code,chapter_name,command_name,command_code,operation_type,matched_object_prefix,matched_command_count,matched_commands,reason
Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.GenerateDate,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.HaloBCentralizedModeAvailable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.HaloBSingleModeAvailable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.SeqNum,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.Version,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.AccessMgmt.LTE.HNBName,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.AccessMgmt.LTE.MaxUEsServed,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.Capabilities.LTE.BandsSupported,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波能力集,LST FAP_SERVICE_CAPABILITIES,LST,Device.Services.FAPService.{i}.Capabilities.LTE.,2,LST LST FAP_SERVICE_CAPABILITIES FAP 载波能力集; MOD MOD FAP_SERVICE_CAPABILITIES FAP 载波能力集,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.Capabilities.LTE.DuplexMode,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波能力集,LST FAP_SERVICE_CAPABILITIES,LST,Device.Services.FAPService.{i}.Capabilities.LTE.,2,LST LST FAP_SERVICE_CAPABILITIES FAP 载波能力集; MOD MOD FAP_SERVICE_CAPABILITIES FAP 载波能力集,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.Capabilities.LTE.SupportActiveRRCNumbers,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波能力集,LST FAP_SERVICE_CAPABILITIES,LST,Device.Services.FAPService.{i}.Capabilities.LTE.,2,LST LST FAP_SERVICE_CAPABILITIES FAP 载波能力集; MOD MOD FAP_SERVICE_CAPABILITIES FAP 载波能力集,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.Capabilities.LTE.UeInactiveTimer,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波能力集,LST FAP_SERVICE_CAPABILITIES,LST,Device.Services.FAPService.{i}.Capabilities.LTE.,2,LST LST FAP_SERVICE_CAPABILITIES FAP 载波能力集; MOD MOD FAP_SERVICE_CAPABILITIES FAP 载波能力集,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.AdminState,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.InUse,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.OpState,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.RFTxStatus,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.RUHOControlEnable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.SourcedSignalEnable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.X_COM.LTE.HOVA3Offset,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.X_COM.LTE.HOVInterA5Threshold1RSRP,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.X_COM.LTE.HOVInterA5Threshold2RSRP,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwBindName,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwEnable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwFwdIpv4Addr,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwFwdIpv4Enable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwFwdIpv4Mask,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwFwdIpv6Addr,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwFwdIpv6Enable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwFwdIpv6PrefixLen,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.LgwFwdCfg.LgwFwdMode,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.MacSchedulerInfo.MacLogLevel,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.MacSchedulerInfo.SchLogLevel,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.Enable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.MmePool1IpsecAddr,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.MmePool1List,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.MmePool1Status,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.MmePool2IpsecAddr,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.MmePool2List,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.MmePool2Status,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.MmePool.MmePoolListMapIpsecTunnel,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.LTE.MocnConfigParam.{i},yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.LTE.MultiIpsecConfigParam.{i},yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.MultiPlmnEnable,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.NgapDscp.Dscp,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.NgapDscp.VlanPrio,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.OamDscp.Dscp,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.OamDscp.VlanPrio,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.CN.TA.{i}.PLMNList.{i},yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.PdcpLog.PdcpLogLevel,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.Qos.QosSstInfo.{i},yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.RlcLog.RlcLogLevel,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.RlcLog.RlclLogLevel,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.RrcProv.RrcMaxLogFileCount,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.RrcProv.RrcMaxLogFileSize,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.RrcProv.RrcSharedMemSize,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.RrmLogConfig.OamLogFileCount,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.RrmLogConfig.OamLogFileSize,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.RrmLogConfig.OamShmSize,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.RrmLogConfig.RrmFileCount,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.RrmLogConfig.RrmLogFilesize,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.RrmLogConfig.RrmLogLevel,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.RrmLogConfig.RrmShmSize,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.X_COM.LTE.SchedulerConfig.DLSchedulerType,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.X_COM.LTE.SchedulerConfig.ULSchedulerType,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.CN.TA.{i}.PLMNList.{i}.SliceList.{i},yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.CellConfig.{i}.NR.CN.TA.{i},yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.X2apDscp.Dscp,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.X2apDscp.VlanPrio,yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.FAPService.{i}.FAPControl.NR.XnBlackList.{i},yes,object_prefix_current_command_node,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,Device.Services.FAPService.{i}.,2,LST LST FAP_SERVICE FAP 载波基本配置; MOD MOD FAP_SERVICE FAP 载波基本配置,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
